Feature,Scaler_Min,Scaler_Max
gender,0.0,1.0
Partner,0.0,1.0
Dependents,0.0,1.0
tenure,0.0,72.0
PhoneService,0.0,1.0
PaperlessBilling,0.0,1.0
MonthlyCharges,18.25,118.6
TotalCharges,18.8,8684.8
MultipleLines,0.25139664804469275,0.28410513141426785
InternetService,0.07660626029654036,0.41555824264409513
OnlineSecurity,0.07660626029654036,0.41601423487544487
OnlineBackup,0.07660626029654036,0.39869281045751637
DeviceProtection,0.07660626029654036,0.3877059059863399
TechSupport,0.07660626029654036,0.41347187388032963
StreamingTV,0.07660626029654036,0.33541759714158104
StreamingMovies,0.07660626029654036,0.3333333333333333
Contract,0.028379387602688575,0.4265325981187155
PaymentMethod,0.15240423797881011,0.44992050874403816
